# VERTICAL CLIMBER — world.txt
# All coordinates in METERS.
# Y=0 ground level, Y increases UPWARD.
# Tags:
#   V  key  value
#   T  x  y  w  h  type(solid|break)  coin_inside(0|1)
#   E  x  y  type(dasher|boss)  patrol_min  patrol_max
#   C  x  y
#   I  x  y  type
#   B  x  y  item_type
#   D  x  y  w  h  color(0xRRGGBBAA)  [label or 'teleporter']
#   O  x  y  w  h  friction  restitution  color(0xRRGGBBAA)
#   P  x  y  (player spawn, bottom-left)
# Reload mid-game: K

# --- config ---
V px_per_m 100
V world_w 20
V world_h 140
V gravity 18
V move_speed 2.8
V move_accel 20
V move_friction 0.80
V jump_vy -7
V jump_boost_vy -9.5
V dash_speed 7
V dash_frames 6
V edge_grab_slide 0.5
V invincible_frames 40
V player_w 0.28
V player_h 0.36
V max_vx 10
V max_vy 10

# --- spawn (bottom-left of player, y from ground) ---
P 9.86 1

# --- boundaries (y from ground up) ---
T -10 0 10 140 solid 0
T 20 0 10 140 solid 0
T -10 -10 40 10 solid 0
T 0 140 20 0.6 solid 0

# --- ground ---
T 0 0 20 1.2 solid 0
T 0 1.2 3.4 0.8 solid 0
T 16.6 1.2 3.4 0.8 solid 0

O 12 1.0 2 1 0.3 0.2 0xAA6633FF

# --- starter steps ---
T 0.55 1.5 2 0.65 solid 0
T 17.45 1.5 2 0.65 solid 0
T 2 2.8 2.2 0.6 solid 0
T 15.8 2.8 2.2 0.6 solid 0
T 4 4.0 2 0.55 solid 0
T 14 4.0 2 0.55 solid 0
T 6.2 5.2 3 0.55 solid 0
T 10.8 5.2 3 0.55 solid 0
T 8.2 6.4 3.6 0.55 solid 0

# --- break rock with coin ---
T 7 7.5 1.6 0.5 break 1
T 16.5 40.5 1.6 0.5 break 1
T 5 60.3 1 0.5 break 1
T 14.9 109.4 1 0.5 break 1
T 9.4 111.7 1 0.5 break 1
T 5.4 114.1 1 0.5 break 1
T 14.6 121.4 1 0.5 break 1
# --- lower climb (dense) ---
T 9.5 8.8 2.5 0.5 solid 0
T 13.0 10.0 2.2 0.5 solid 0
T 16.5 11.2 3.0 0.5 solid 0
T 14.0 12.5 2.0 0.5 solid 0
T 10.0 13.8 3.5 0.5 solid 0
T 6.5 15.0 2.8 0.5 solid 0
T 3.0 16.2 2.5 0.5 solid 0
T 0.5 17.5 2.5 0.5 solid 0
T 3.5 18.8 3.0 0.5 solid 0
T 7.0 20.0 6.0 0.6 solid 0

# --- middle spiral ---
T 14.0 21.5 3.0 0.5 solid 0
T 17.0 23.0 2.5 0.5 solid 0
T 14.5 24.5 2.0 0.5 solid 0
T 11.0 26.0 3.0 0.5 solid 0
T 7.5 27.5 2.5 0.5 solid 0
T 1.5 29.0 5.3 0.5 solid 0
O 4.5 30 3 1 0.3 0.2 0xAA6633FF

T 4.5 32.0 3.0 0.5 break 1


# --- hazard segment ---
T 0.0 34.0 5.0 0.8 solid 0
T 6.5 35.5 2.5 0.5 solid 0
T 10.5 37.0 2.5 0.5 solid 0
T 15.0 38.5 5.0 0.8 solid 0


# --- the long ascent (y40 to y100) ---

T 12.0 42.0 2.5 0.5 solid 0
T 8.5 43.5 3.0 0.5 solid 0
T 4.5 45.0 3.5 0.5 solid 0
T 1.0 46.5 2.8 0.5 solid 0
T 5.0 48.0 2.2 0.5 solid 0
T 9.0 49.5 3.0 0.5 solid 0
T 13.0 51.0 2.5 0.5 solid 0
T 17.0 52.5 2.8 0.5 solid 0

T 10.0 55.0 5.0 0.6 solid 0


T 6.0 57.5 3.0 0.5 solid 0
T 2.0 59.0 2.5 0.5 solid 0
T 5.5 61.5 2.0 0.5 solid 0
T 9.5 63.0 3.0 0.5 solid 0
T 14.0 64.5 2.5 0.5 solid 0
T 17.5 66.0 2.5 0.5 solid 0

T 14.5 67.2 2.5 0.5 solid 0
T 11.0 68.5 3.0 0.5 solid 0
T 7.5 69.8 2.8 0.5 solid 0
T 4.0 71.2 2.2 0.5 solid 0
T 0.8 72.5 2.5 0.5 solid 0
T 3.5 73.8 3.0 0.5 solid 0
T 7.2 73.2 2.5 0.5 solid 0
T 11 72.7 3.5 0.5 solid 0

#Columns
T 4 75 0.1 2.8 solid 0
T 17 75 0.1 2.5 solid 0

#middle land
T 16 73 2.4 0.5 solid 0
T 2 79.4 2.4 0.5 solid 0
T 6 77.9 3.2 0.5 solid 0
T 13.8 78.6 2.3 0.5 solid 0
T 9.5 80.2 2.5 0.5 solid 0
T 14.0 81.5 2 0.5 solid 0
T 5 81.3 2.5 0.5 solid 0
T 16.9 83.2 1 0.5 solid 0
T 3 83.2 0.8 0.5 solid 0
T 9 82.8 2.8 0.5 solid 0


#small mage land
T 0.5 85.8 0.6 0.3 solid 0
T 1 87 0.5 0.7 solid 0
T 1.5 85.1 0.64 0.5 solid 0
T 2 86 0.59 0.5 solid 0
T 2.8 87.2 0.6 0.5 solid 0
T 3 85.5 0.61 0.4 solid 0
T 4.2 86.3 0.71 0.5 solid 0
T 4.8 84.5 0.68 0.5 solid 0
T 5.5 85.9 0.5 0.5 solid 0
T 6.5 85.7 0.6 0.5 solid 0
T 7.7 86.8 0.3 0.5 solid 0
T 8 85 0.2 0.5 solid 0
T 9.2 85.8 0.15 0.5 solid 0
T 10 87 0.5 0.2 solid 0
T 10.2 84.5 0.3 0.3 solid 0
T 11.4 86.2 0.2 0.5 solid 0
T 11.8 87.5 0.2 0.3 solid 0
T 12 84.7 0.18 0.5 solid 0
T 12.8 86.8 0.2 0.5 solid 0
T 13.7 84.5 0.15 0.5 solid 0
T 14 86.1 0.5 0.5 solid 0
T 15 85 0.5 0.5 solid 0
T 16.3 87 0.5 0.5 solid 0
T 17 85 0.53 0.5 solid 0
T 17.9 85.9 0.7 0.5 solid 0
T 18.3 87.2 0.6 0.5 solid 0
T 19 85.1 0.6 0.5 solid 0

#medium mage land
T 0.3 91 0.9 0.5 solid 0
T 0.6 89.6 0.9 0.5 solid 0
T 1.9 88.5 1 0.5 solid 0
T 2.8 90.6 0.8 0.5 solid 0
T 3.8 92 1.1 0.5 solid 0
T 4.5 89 0.9 0.5 solid 0
T 4.9 87.4 1.3 0.5 solid 0
T 6.2 91 0.9 0.5 solid 0
T 7 89.3 0.9 0.5 solid 0
T 9.6 90.5 0.8 0.5 solid 0
T 9.2 88.4 0.5 0.5 solid 0
T 11.8 89.6 1 0.5 solid 0
T 13 91.5 0.8 0.5 solid 0
T 13.7 88.1 1.4 0.5 solid 0
T 15.2 90.9 1.3 0.5 solid 0
T 15.8 89 1.1 0.5 solid 0
T 17.8 90.5 1.4 0.5 solid 0
T 18.3 88.8 1.2 0.5 solid 0

#large mage land
T 1 93.8 1.8 0.5 solid 0
T 3.3 95 1.5 0.5 solid 0
T 5.6 94 2 0.5 solid 0
T 9 92.2 2 0.5 solid 0
T 13 93.5 3.0 0.5 solid 0
T 16 94.5 3.0 0.5 solid 0

#mage place
T 8.5 95.5 4 0.5 solid 0

#above mage
T 10 97.3 0.1 2 solid 0
